,player_id,position,sub_position,yellow_cards,red_cards,avg_minutes_played,n_games
198,44699,Defender,Left-Back,41,1,82.0,193
199,46635,Defender,Right-Back,41,1,77.51834862385321,218
200,49500,Defender,Right-Back,41,0,86.58,200
201,60577,Defender,Centre-Back,41,1,87.00452488687783,221
202,67864,Defender,Centre-Back,41,2,76.98837209302326,86
203,84711,Defender,Right-Back,41,0,82.14044943820225,178
204,96718,Defender,Right-Back,41,1,77.9843137254902,255
205,127031,Defender,Right-Back,41,1,74.12658227848101,158
206,131821,Defender,Centre-Back,41,5,82.47904191616766,167
207,139336,Defender,Centre-Back,41,0,82.72811059907833,217
208,148666,Defender,Centre-Back,41,1,84.9627659574468,188
209,182923,Defender,Centre-Back,41,1,81.44680851063829,188
210,286384,Defender,Centre-Back,41,2,78.84177215189874,158
211,5017,Defender,Centre-Back,40,2,86.57948717948717,195
212,18759,Defender,Left-Back,40,3,87.5028901734104,173
213,34393,Defender,Centre-Back,40,2,86.01075268817205,186
214,37397,Defender,Centre-Back,40,0,82.3440366972477,218
215,52477,Defender,Right-Back,40,0,79.79213483146067,178
216,59032,Defender,Centre-Back,40,1,76.17857142857143,196
217,59248,Defender,Right-Back,40,2,82.24242424242425,165
218,59973,Defender,Centre-Back,40,0,86.55555555555556,117
219,67080,Defender,Centre-Back,40,3,85.96470588235294,170
220,95424,Defender,Right-Back,40,1,83.29181494661921,281
221,117802,Defender,Centre-Back,40,2,83.68148148148148,135
222,131225,Defender,Left-Back,40,2,82.40789473684211,152
223,138736,Defender,Centre-Back,40,0,68.98305084745763,118
224,148550,Defender,Right-Back,40,1,66.72897196261682,107
225,155806,Defender,Centre-Back,40,3,87.9447004608295,217
226,160831,Defender,Right-Back,40,2,73.0677966101695,118
227,201671,Defender,Right-Back,40,0,83.55614973262033,187
228,255755,Defender,Left-Back,40,1,84.12741312741312,259
229,333633,Defender,Right-Back,40,0,83.92929292929293,99
230,336697,Defender,Centre-Back,40,0,82.62385321100918,109
231,44327,Defender,Centre-Back,39,0,74.21897810218978,137
232,47085,Defender,Centre-Back,39,1,77.21176470588236,170
233,58489,Defender,Centre-Back,39,1,74.74107142857143,112
234,58930,Defender,Centre-Back,39,0,84.98984771573605,197
235,67089,Defender,Centre-Back,39,0,83.50537634408602,93
236,72310,Defender,Left-Back,39,1,80.66883116883118,154
237,76176,Defender,Centre-Back,39,0,83.92753623188406,138
238,79510,Defender,Centre-Back,39,2,82.47863247863248,117
239,100986,Defender,Right-Back,39,0,76.18222222222222,225
240,126534,Defender,Centre-Back,39,0,85.26282051282051,156
241,148751,Defender,Right-Back,39,0,71.74770642201835,218
242,190185,Defender,Centre-Back,39,2,85.68711656441718,163
243,204198,Defender,Centre-Back,39,0,82.23178807947019,151
244,250638,Defender,Right-Back,39,2,77.99212598425197,127
245,258254,Defender,Centre-Back,39,3,87.20689655172414,145
246,281963,Defender,Centre-Back,39,0,73.13089005235602,191
247,302991,Defender,Centre-Back,39,3,73.9622641509434,106
248,13217,Defender,Right-Back,38,2,84.22360248447205,161
249,21725,Defender,Left-Back,38,1,83.58988764044943,178
250,31182,Defender,Right-Back,38,1,75.37962962962963,216
251,33357,Defender,Centre-Back,38,3,86.95541401273886,157
252,34204,Defender,Centre-Back,38,0,84.25694444444444,144
253,43250,Defender,Centre-Back,38,0,86.47330960854093,281
254,44059,Defender,Centre-Back,38,1,82.40697674418605,172
255,44317,Defender,Left-Back,38,2,83.97810218978103,137
256,44357,Defender,Centre-Back,38,1,79.11811023622047,127
257,46056,Defender,Centre-Back,38,0,86.97692307692307,130
258,52348,Defender,Centre-Back,38,1,85.68503937007874,127
259,52403,Defender,Centre-Back,38,0,85.02884615384616,208
260,55854,Defender,Left-Back,38,0,70.47340425531915,188
261,56836,Defender,Left-Back,38,1,82.11792452830188,212
262,58000,Defender,Right-Back,38,0,79.04629629629629,108
263,59597,Defender,Left-Back,38,0,79.80188679245283,212
264,67071,Defender,Centre-Back,38,1,88.38,200
265,76061,Defender,Right-Back,38,0,73.0,152
266,84085,Defender,Centre-Back,38,4,83.67894736842105,190
267,91434,Defender,Right-Back,38,1,88.49763033175356,211
268,94005,Defender,Left-Back,38,0,74.47029702970298,202
269,135343,Defender,Centre-Back,38,1,77.56296296296296,135
270,137745,Defender,Left-Back,38,2,78.84939759036145,166
271,173504,Defender,Centre-Back,38,0,83.09189189189189,185
272,178957,Defender,Left-Back,38,0,74.38121546961327,181
273,186862,Defender,Centre-Back,38,1,80.09722222222223,144
274,200056,Defender,Right-Back,38,1,81.89788732394366,284
275,257851,Defender,Centre-Back,38,1,80.63917525773196,194
276,258004,Defender,Centre-Back,38,0,88.51010101010101,198
277,272622,Defender,Centre-Back,38,1,87.95744680851064,188
278,312862,Defender,Left-Back,38,2,70.98076923076923,156
279,9819,Defender,Centre-Back,37,2,86.74285714285715,140
280,36364,Defender,Centre-Back,37,1,85.97368421052632,152
281,36827,Defender,Centre-Back,37,0,84.79668049792531,241
282,37398,Defender,Centre-Back,37,0,82.09375,128
283,37838,Defender,Centre-Back,37,0,81.31111111111112,225
284,46156,Defender,Left-Back,37,0,80.82,250
285,48907,Defender,Centre-Back,37,2,84.66517857142857,224
286,52281,Defender,Left-Back,37,1,75.23255813953489,215
287,86930,Defender,Left-Back,37,1,84.84408602150538,186
288,88721,Defender,Centre-Back,37,2,85.78235294117647,170
289,94293,Defender,Centre-Back,37,0,84.08866995073892,203
290,95152,Defender,Centre-Back,37,2,83.1774193548387,124
291,121477,Defender,Centre-Back,37,0,87.03125,192
292,124422,Defender,Centre-Back,37,0,74.84827586206896,145
293,144143,Defender,Right-Back,37,0,82.14197530864197,162
294,156808,Defender,Centre-Back,37,0,81.20869565217392,115
295,157495,Defender,Left-Back,37,2,80.56626506024097,166
296,176139,Defender,Centre-Back,37,1,82.01801801801801,111
297,187718,Defender,Right-Back,37,0,77.49751243781094,201
298,188660,Defender,Centre-Back,37,2,87.45086705202313,173
299,253973,Defender,Left-Back,37,0,75.64566929133858,127
300,277167,Defender,Centre-Back,37,0,87.86440677966101,177
301,32113,Defender,Centre-Back,36,2,80.33014354066985,209
302,38799,Defender,Right-Back,36,0,84.40789473684211,76
303,48803,Defender,Left-Back,36,0,74.19310344827586,145
304,59389,Defender,Right-Back,36,0,79.0261780104712,191
305,85789,Defender,Centre-Back,36,0,87.24886877828054,221
306,87210,Defender,Centre-Back,36,0,87.9136690647482,139
307,90681,Defender,Centre-Back,36,1,82.28358208955224,134
308,92947,Defender,Centre-Back,36,1,77.91666666666667,240
309,93081,Defender,Centre-Back,36,1,83.2,230
310,128042,Defender,Right-Back,36,1,76.45959595959596,198
311,131708,Defender,Centre-Back,36,1,85.8955223880597,134
312,143029,Defender,Centre-Back,36,4,86.28837209302326,215
313,174733,Defender,Centre-Back,36,0,87.76608187134502,171
314,187283,Defender,Left-Back,36,1,80.16867469879519,166
315,189453,Defender,Left-Back,36,1,77.97413793103448,116
316,215114,Defender,Right-Back,36,1,83.28571428571429,245
317,226006,Defender,Left-Back,36,1,85.70370370370371,81
318,240786,Defender,Centre-Back,36,0,81.13422818791946,149
319,272812,Defender,Right-Back,36,1,71.65128205128205,195
320,355628,Defender,Centre-Back,36,0,73.66459627329192,161
